,irrigation_scheduling_method,location,latitude,longitude,altitude,soil_type,farm_size,experiment_date,plant_type,number_of_plants,fruit_quality,plant_yield,plant_height,water_productivity,doi_url,processed_at,relevance_score,valid
0,Soil moisture sensor-based method (T-VWC),"Xiaotangshan National Precision Agriculture Experiment Station, Beijing, China","40°10'43"" N","116°26'39"" E",,coarse sands,28 m long and 7.5 m wide,"March 15 to June 19, 2017",Cucumber (Zhongnong 26),20 plants (10 plants in each of 2 rows),,66.77 t ha−1,,17.37 kg m−3,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0,True
1,Accumulated radiation combined with soil moisture sensor-based method (Rn-VWC),"Xiaotangshan National Precision Agriculture Experiment Station, Beijing, China","40°10'43"" N","116°26'39"" E",,coarse sands,28 m long and 7.5 m wide,"March 15 to June 19, 2017",Cucumber (Zhongnong 26),20 plants (10 plants in each of 2 rows),,58.98 t ha−1,,20.52 kg m−3,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0,True
2,Crop evapotranspiration estimated method using the hourly PM-ETo equation with an improved calculation of Kc (T-ETc),"Xiaotangshan National Precision Agriculture Experiment Station, Beijing, China","40°10'43"" N","116°26'39"" E",,coarse sands,28 m long and 7.5 m wide,"March 15 to June 19, 2017",Cucumber (Zhongnong 26),20 plants (10 plants in each of 2 rows),,64.54 t ha−1,,25.07 kg m−3,https://doi.org/10.1038/s41598-024-52972-x,2025-09-12 01:42:16,9.0,True
3,Full irrigation (100% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2021/2022,Wheat (Triticum aestivum L.),,,5085 kg ha−1,,,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
4,Deficit irrigation (85% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2021/2022,Wheat (Triticum aestivum L.),,,4830 kg ha−1,,,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
5,Deficit irrigation (70% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2021/2022,Wheat (Triticum aestivum L.),,,4555 kg ha−1,,1.39 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
6,Deficit irrigation (55% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2021/2022,Wheat (Triticum aestivum L.),,,3475 kg ha−1,,,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
7,Deficit irrigation (40% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2021/2022,Wheat (Triticum aestivum L.),,,2510 kg ha−1,,,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
8,Full irrigation (100% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2022/2023,Wheat (Triticum aestivum L.),,,5160 kg ha−1,,1.26 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
9,Deficit irrigation (85% ETc),"Melkassa Agricultural Research Center, Awash Basin, Ethiopia",8°24′N,39°21′E,1550 m,clay loam,,2022/2023,Wheat (Triticum aestivum L.),,,4940 kg ha−1,,1.33 kg m−3,https://doi.org/10.1177/11786221241274019,2025-09-12 04:01:02,9.0,True
