,altitude_numeric,latitude_decimal_degrees,longitude_decimal_degrees,plant_yield_kg_per_hectare,water_productivity_kg_per_m^3
0,37.0,40.178611,116.44425,60572.74244999999,17.37
1,36.0,40.178611,116.44416666666667,53505.77129999999,20.52
2,37.0,40.178611,116.44425,58549.7199,25.07
3,1550.0,8.4,39.35,5085.0,8.594532012939453
4,1550.0,8.4,39.35,4830.0,8.594532012939453
5,1550.0,8.4,39.35,4555.0,1.39
6,1550.0,8.4,39.35,3475.0,8.594532012939453
7,1550.0,8.4,39.35,2510.0,8.594532012939453
8,1550.0,8.4,39.35,5160.0,1.26
9,1550.0,8.4,39.35,4940.0,1.33
10,1550.0,8.4,39.35,4710.0,1.44
11,1550.0,8.4,39.35,3590.0,1.26
12,1550.0,8.4,39.35,2670.0,1.09
13,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
14,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
15,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
16,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
17,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
18,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
19,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
20,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
21,542.0,-23.416666666666668,-51.95,24060.0,10.399933815002441
22,542.0,-23.416666666666668,-51.95,25400.0,10.399933815002441
23,542.0,-23.416666666666668,-51.95,27010.0,10.550725936889648
24,542.0,-23.416666666666668,-51.95,30600.0,10.596000671386719
25,1550.0,8.4,39.35,5085.0,8.594532012939453
26,1550.0,8.4,39.35,4830.0,8.594532012939453
27,1550.0,8.4,39.35,4555.0,1.39
28,1550.0,8.4,39.35,3475.0,1.29
29,1550.0,8.4,39.35,2510.0,1.16
30,1550.0,8.4,39.35,5160.0,1.26
31,1550.0,8.4,39.35,4940.0,1.33
32,1550.0,8.4,39.35,4710.0,1.44
33,1550.0,8.4,39.35,3590.0,1.26
34,1550.0,8.4,39.35,2670.0,1.09
113,1550.0,8.4,39.35,5085.0,1.22
114,1550.0,8.4,39.35,4830.0,1.31
115,1550.0,8.4,39.35,4555.0,1.42
116,1550.0,8.4,39.35,3475.0,1.28
117,1550.0,8.4,39.35,2510.0,1.13
118,1550.0,8.4,39.35,5160.0,1.26
119,1550.0,8.4,39.35,4940.0,1.44
120,1550.0,8.4,39.35,4710.0,1.44
121,1550.0,8.4,39.35,3590.0,1.26
122,1550.0,8.4,39.35,2670.0,1.09
123,1550.0,8.4,39.35,5085.0,8.594532012939453
124,1550.0,8.4,39.35,4830.0,8.594532012939453
125,1550.0,8.4,39.35,4555.0,1.39
126,1550.0,8.4,39.35,3475.0,1.29
127,1550.0,8.4,39.35,2510.0,1.16
128,1550.0,8.4,39.35,5160.0,1.26
129,1550.0,8.4,39.35,4940.0,1.33
130,1550.0,8.4,39.35,4710.0,1.44
131,1550.0,8.4,39.35,3590.0,1.26
132,1550.0,8.4,39.35,2670.0,1.09
133,1563.0,8.4,39.35,17.423224,0.432
134,1563.0,8.4,39.35,23.688392,0.669
135,1563.0,8.4,39.35,23.37608,0.6719999999999999
136,1563.0,8.4,39.35,21.161504,0.583
137,1563.0,8.4,39.35,17.082520000000002,0.475
138,1563.0,8.4,39.35,18.577832,0.441
139,1563.0,8.4,39.35,24.672648,0.5780000000000001
140,1563.0,8.4,39.35,24.32248,0.5740000000000001
141,1563.0,8.4,39.35,21.076328,0.521
142,1563.0,8.4,39.35,17.60304,0.418
143,1563.0,8.4,39.35,15.52096,0.394
144,1563.0,8.4,39.35,22.202544,0.5730000000000001
145,1563.0,8.4,39.35,21.899696,0.584
146,1563.0,8.4,39.35,20.20564,0.5349999999999999
147,1563.0,8.4,39.35,14.62188,0.404
148,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
149,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
150,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
151,600.0,33.333333333333336,36.43333333333333,11766.18945,1.79
152,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
153,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
154,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
155,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
156,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
157,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
158,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
159,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
160,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
161,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
162,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
163,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
164,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
165,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
166,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
167,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
168,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
169,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
170,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
171,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
172,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
173,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
174,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
175,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
176,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
177,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
178,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
179,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
180,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
181,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
182,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
183,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
184,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
185,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
186,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
187,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
188,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
189,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
190,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
191,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
192,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
193,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
194,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
195,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
196,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
197,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
198,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
199,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
200,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
201,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
202,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
203,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
204,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
205,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
206,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
207,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
208,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
209,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
210,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
211,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
212,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
213,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
214,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
215,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
216,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
217,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
218,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
219,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
220,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
221,600.0,33.333333333333336,36.43333333333333,11766.18945,1.79
222,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
223,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
224,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
225,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
226,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
227,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
228,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
229,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
230,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
231,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
232,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
233,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
234,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
235,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
236,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
237,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
238,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
239,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
240,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
241,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
242,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
243,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
244,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
245,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
246,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
247,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
248,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
249,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
250,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
251,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
252,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
253,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
254,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
255,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
256,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
257,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
258,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
259,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
260,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
261,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
262,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
263,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
264,600.0,33.333333333333336,36.43333333333333,12981.81735,1.97
265,600.0,33.333333333333336,36.43333333333333,10840.860749999998,1.65
266,600.0,33.333333333333336,36.43333333333333,12782.23665,1.94
267,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
268,600.0,33.333333333333336,36.43333333333333,12637.087049999998,1.92
281,526.0,-22.7284,-47.6492,3384.3,8.594532012939453
282,526.0,-22.7284,-47.6492,2626.0,8.594532012939453
283,526.0,-22.7284,-47.6492,3042.8,8.594532012939453
284,526.0,-22.7284,-47.6492,2736.5,8.594532012939453
285,526.0,-22.7284,-47.6492,3087.4,8.594532012939453
286,526.0,-22.7284,-47.6492,1956.8,8.594532012939453
287,526.0,-22.7284,-47.6492,2388.0,8.594532012939453
288,526.0,-22.7284,-47.6492,2271.3,8.594532012939453
289,526.0,-22.7284,-47.6492,2228.0,8.594532012939453
290,526.0,-22.7284,-47.6492,2968.7,8.594532012939453
291,526.0,-22.7284,-47.6492,1224.8,8.594532012939453
292,526.0,-22.7284,-47.6492,4037.2,8.594532012939453
293,446.0,-22.195833333333333,-54.92167,6899.0,8.594532012939453
294,446.0,-22.195833333333333,-54.92167,9731.43,8.84350872039795
295,918.0,-21.23333333333333,-45.0,24040.4025,9.71
296,118.0,29.4,71.68333055555556,5455.0,0.24
297,118.0,29.4,71.68333055555556,5242.0,0.231
298,118.0,29.4,71.68333055555556,5228.0,0.231
299,118.0,29.4,71.68333055555556,5089.0,0.224
300,5.0,31.0,30.9,3772.07523,8.594532012939453
301,5.0,31.0,30.9,4672.00275,8.594532012939453
302,3.0,31.3,31.2,2672.56701,8.594532012939453
303,3.0,31.3,31.2,3532.57839,8.594532012939453
304,3.0,31.4,31.5,2125.534455,8.594532012939453
305,3.0,31.4,31.5,2676.19575,8.594532012939453
311,820.0,38.71666666666667,-1.4666666666666666,4808.080499999999,6.81
312,820.0,38.71666666666667,-1.4666666666666666,7983.228,5.12
313,820.0,38.71666666666667,-1.4666666666666666,7620.354,3.53
314,820.0,38.71666666666667,-1.4666666666666666,7620.354,4.04
315,820.0,38.71666666666667,-1.4666666666666666,7166.7615,3.98
316,820.0,38.71666666666667,-1.4666666666666666,6441.013499999999,4.03
317,441.0,-13.258055555555556,-43.55194444444444,70564.0,9.26
318,441.0,-13.258055555555556,-43.55194444444444,89933.0,9.08
319,441.0,-13.258055555555556,-43.55194444444444,70253.0,9.22
320,441.0,-13.258055555555556,-43.55194444444444,84453.0,8.52
321,441.0,-13.258055555555556,-43.55194444444444,67594.0,8.87
322,441.0,-13.258055555555556,-43.55194444444444,71837.0,7.25
323,441.0,-13.258055555555556,-43.55194444444444,70058.0,9.19
324,441.0,-13.258055555555556,-43.55194444444444,71467.0,7.21
325,441.0,-13.258055555555556,-43.55194444444444,96218.0,6.31
326,551.0,-15.129722,-43.95013888888889,60464.0,7.16
327,551.0,-15.129722,-43.95013888888889,60948.0,7.22
328,551.0,-15.129722,-43.95013888888889,54200.0,6.42
329,551.0,-15.129722,-43.95013888888889,59977.0,7.1
330,551.0,-15.129722,-43.95013888888889,78542.0,4.83
411,74.0,30.187,31.69388888888889,12030.0,5.536
412,74.0,30.187,31.69388888888889,10827.0,4.862
413,74.0,30.187,31.69388888888889,10693.0,3.967
414,74.0,30.187,31.69388888888889,10559.0,3.967
415,74.0,30.187,31.69388888888889,12364.0,5.65
416,74.0,30.187,31.69389,10893.0,4.821
417,74.0,30.187,31.69388888888889,10827.0,3.977
418,74.0,30.187,31.69388888888889,10893.0,4.821
419,74.0,30.186944444444443,31.69388888888889,10827.0,3.977
420,1112.0,80.748611,39.79694444444444,17281.87425,3.19
421,1112.0,80.748611,39.79694444444444,16701.275849999998,3.07
422,1112.0,80.748611,39.79694444444444,15186.276899999995,2.8
423,1112.0,80.748611,390.7969444444444,14351.6667,2.75
424,1112.0,80.748611,39.79694444444444,13979.72085,2.74
425,1479.0,-17.7,31.066666666666663,26308.365,25.4
426,1479.0,-17.7,31.066666666666663,25582.617,29.2
427,1479.0,-17.7,31.066666666666663,25582.617,29.8
428,1479.0,-17.7,31.066666666666663,23042.499,27.4
429,1479.0,-17.7,31.066666666666663,71214.02249999999,38.8
430,1479.0,-17.7,31.066666666666663,48352.9605,33.1
431,1479.0,-17.7,31.066666666666663,43000.569,39.2
432,1479.0,-17.7,31.066666666666663,35652.3705,38.9
433,1479.0,-17.7,31.066666666666663,61688.58,39.1
434,1479.0,-17.7,31.066666666666663,52616.73,39.2
435,1479.0,-17.7,31.066666666666663,45722.124,40.0
436,1479.0,-17.7,31.066666666666663,41367.636,40.0
